用户,评分,评论内容,评论时间,用户地址,cluster
仅***赖,5,才买的联想小新16pro 酷睿Ultra 用起来感觉不错，之前电脑设备太久，现在新电脑很丝滑，流畅度也很好，1TB内存空间很大完全办公够用了,2025-01-31 22:40:16,四川,0
j***w,5,运行速度：小新16pro&lsquo;酷睿Ultra&rsquo;版非常好用，画面精致、运行流畅，可以满足日常办公和游戏娱乐需求。,2025-01-23 15:43:41,陕西,0
u***s,5,"非常满意的一次购物，酷睿Ultra CPU的小新笔记本电脑，
机速度快到飞起，屏幕显示非常清晰，外观漂
亮。",2025-01-20 19:32:33,四川,0
阿***3,5,女儿上了大学，寒假在家没事给她买了个联想笔记本，看看电影，打打游戏，京东买的非常放心。电脑速度也非常快。酷睿Ultra，性能真不错，非常喜欢棒棒哒。,2025-01-17 19:52:56,江苏,0
高***一,5,酷睿Ultra&rsquo;+小誉很好，整体运行更好，用来办公使用，ai功能也很不错，性价比也很高。,2025-02-07 22:09:02,广东,0
z***-,5,终于买到&lsquo;酷睿Ultra&rsquo;，价格特别合适！本人非常喜欢！颜值很高，运行速度非常好！感受到了做产品的用心！,2025-01-23 12:27:23,江苏,0
T***n,5,期待小新14pro很久了，终于在国补期间拿下，颜值和质感没得说，非常棒，&ldquo;酷睿Ultra&rdquo; 使用体验感也很好,2025-01-20 19:57:20,广东,0
j***q,5,申请了20%国补，价格非常优惠，联想作为老牌电脑，值得信赖，十几年前读大学时候，买的第一个笔记本就是联想Ｙ460，气温低就会出现花屏，去售后各种忽悠我不给我维修，这次还是选择了相信，希望能越来越好，冲着&ldquo;酷睿Ultra&rdquo;处理器强大，再次选择相信，祝我好运吧,2025-02-10 22:17:09,浙江,0
6***9,5,酷睿Ultra AI pro 16轻薄好看，运行速度快，值得购买，又有国补，很划算，联想大品牌，值得信赖。,2025-01-22 22:16:19,湖北,0
善***3,5,&lsquo;酷睿Ultra&rsquo;系列，刚好国家补贴20%买的，性价比太高了，用起来也非常丝滑，五星好评！,2025-02-08 10:34:49,福建,0
j***3,5,酷睿Ultra 很棒杠杠的 ◔.̮◔✧买到了物美价廉的好商品，质量杠杠的。物流给力，商家服务周到，售后有求必应。,2025-02-03 20:52:49,四川,0
j***m,5,联想笔记本，型号，酷睿Ultra ，昨天下单，今天就收到货了，很快。自带办公软件，可以免费使用。外观大气！32g内存，酷睿Ultra 5处理器！速度快！还有政府补贴，非常给力！就是包装个外面有个破洞，还好里面的笔记本没事。,2025-01-18 16:47:12,天津,0
j***w,5,这款电脑配置了&ldquo;酷睿Ultra&rdquo;新款芯片，性能强悍，运行速度一流，屏幕效果很好，散热与功耗控制出色，重量三斤多一点，外观炫酷，值得购买，性价比很高，上班族必备。,2025-02-10 11:38:36,江苏,0
0***v,5,家人们，新电脑到手简直惊艳！酷睿Ultra 处理器超给力，运行丝滑，多软件同时开也不卡顿。机身轻薄便携，颜值还高。不管是日常办公还是闲暇追剧、玩小游戏，体验感都超棒，入手不亏！#酷睿Ultra#,2025-02-14 21:54:07,山东,0
l***n,5,对比多个机型，最终选择了联想小新pro14ai超能本，酷睿Ultra 5 125H 的CPU， 32G+1T内存，办公室用足够了，看个电影很舒服，赠送的office，自带的联想应用商店，都很方便好上手。,2025-02-16 14:27:23,黑龙江,0
思***杵,5,电脑包装非常结实，迫不及待打开，充电，开机，更新一系列流程下来，非常开心。最重要的是，酷睿Ultra，先进的进程，混合的架构，AI加速和图像处理性能，强大无处不在！,2025-02-15 13:31:37,山东,0
j***a,5,小新Pro14 颜值高 机身手感好  酷睿Ultra 处理器非常好运行流畅 ，屏幕素质也相当好  是一个不错的办公轻薄本,2025-01-18 19:50:51,湖北,0
u***m,5,&ldquo;酷睿Ultra&rdquo;电脑给孩子日常使用很不错，因为第一次网上购买笔记本，京东发货很快第二天就到总体好评。,2025-01-18 12:05:42,辽宁,0
j***p,5,"酷睿Ultra 16pro完全满足日常生活 办公打游戏 自带的高刷也十分不错 可以玩大型手机很流畅  另外客服小鑫的服务也很好
屏幕效果：很好很满意",2025-02-14 19:00:08,河南,0
小***呀,5,酷睿Ultra，电脑很流畅，送给妹妹的，妹妹很喜欢，外观大气典雅，性能优越，适合打游戏，办公，性价比超高，国货大品牌冲冲冲,2025-02-15 18:55:30,江苏,0
j***r,5,&lsquo;电脑很漂亮，高端大气上档次，如卖家说的很薄，携带出门很方便，💛物流相当的快昨天下午付款第二天下午就到手了，很给力，给买家一个赞。👍👍👍酷睿Ultra&rsquo;和小誉很好这个电脑性价比真的高，也很流畅，比一般的品牌机要合算的多。店家人也很好，物流很快就到了。,2025-01-18 13:33:45,贵州,0
采***-,5,对比了几款，买的这个，最近有国补很划算，酷睿ultra 的处理器应该是很不错的，开机用起来很顺畅，平常自己办公什么的完全没问题，16寸带独立数字键盘很方便，给个大大的好评,2025-02-15 17:05:08,安徽,0
n***凉,5,酷睿Ultra，高性能，能效优化，集成显卡提升，AI加速，连接性与扩展性，强烈推荐，性价比很高的一款。打游戏办公学习都不错,2025-02-15 16:16:11,江苏,0
g***6,5,京东果然没失望，包装很严实，有外箱还带泡沫袋，客服芊芊服务态度很多，解答很有耐心。电脑轻薄便携颜值高，酷睿Ultra 5 性能强，办公超给力！,2025-02-07 12:24:01,上海,0
j***e,5,联想小新16pro 酷睿Ultra ，16寸刚刚合适，而且真的薄，手感很好，快递速度很快真的非常好，很喜欢的一款笔记本电脑,2025-01-18 13:09:05,广西,0
r***-,5,处理器选了&lsquo;酷睿Ultra&rsquo;，一步到位，满足了性价追求，还是一款颜值也在线的笔记本，很好。小鑫客服不错的。,2025-02-14 22:32:59,山西,0
j***y,5,&lsquo;酷睿Ultra&rsquo;真的很喜欢！颜值很高，速度很流畅！非常满意，超级喜欢！这次购物非常棒，商品性价比超高，质量出色。物流高效快捷，商家服务贴心，售后完善。,2025-01-23 12:19:48,江苏,0
j***g,5,这款电脑性能不错，处理器很好。酷睿Ultra  cpu的小新笔记本电脑开机速度快到飞起，屏幕显示清晰，外观造型美观典雅大气。,2025-01-23 21:38:38,湖北,0
j***w,5,这款电脑性能不错，处理器很好，'酷睿Ultra'的核心，比前面买的几款电脑要好，质感非常好，整个颜色搭配也比较好，京东送货也比较给力。16寸的屏幕用起来正好，相对来讲处理器选的比较高端一点的。,2025-01-19 16:44:03,贵州,0
j***o,5,整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;新型芯片，性能上不用担心。外观上全金属机身，很有时尚气质。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理,2025-02-08 14:01:47,广西,0
非***2,5,&ldquo;酷睿Ultra&rdquo;芯片性能强大，电脑运行速度快，屏幕高清，散热效果好，外观大气上档次，超薄。物超所值的产品。,2025-02-03 21:54:52,江苏,0
7***i,5,机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;新型芯片。外观时尚，16寸大机器。小誉也很好。,2025-01-21 14:03:54,北京,0
胡***i,5,"小新pro14&lsquo;酷睿Ultra
特别轻薄屏幕清晰非常适合我这种上班一直背着的上班族，特别期待首次使用",2025-02-08 19:17:34,山东,0
1***f,5,电脑外观简洁大方，&ldquo;酷睿Ultra&rdquo;性能强劲，使用起来非常舒适，电脑屏幕非常清晰，色彩鲜艳，电脑键盘手感非常好，打起字来非常舒适，而且按键反应灵敏,2025-01-17 22:54:54,辽宁,0
j***w,5,这款联想小新14Pro笔记本电脑真的很棒！搭载&ldquo;酷睿Ultra&rdquo;处理器，具有AI功能，大容量，性能强大，外观精美，非常适合女生，它轻便适合办公，还有小林客服服务态度很好，解答问题及时。物流也很给力，好评满分！,2025-02-09 20:52:21,广东,0
筱***羊,5,&lsquo;酷睿Ultra'外观手感都不错，重量轻，屏幕不晃眼，触板光滑手感好。开机速度比较快，自带开盖开机。这款机器给学生党是很不错的选择。,2025-01-20 22:33:18,江苏,0
吴***1,5,这款机器的整体配置比较均衡，内置了&ldquo;酷睿UItra&rdquo;新型芯片，性能上不用担心。性价比很高，外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器,2025-01-24 19:09:03,山东,0
j***p,5,"这款电脑性能不错，处理器很好，'酷睿Ultra'的
核心，比前面买的几款电脑要好，质感非常好，
整个颜色搭配也比较好，京东送货也比较给力。
16寸的屏幕用起来正好，相对来讲处理器选的比
较高端一点的。",2025-02-15 12:58:13,天津,0
j***h,5,"入手这台搭载&ldquo;酷睿Ultra&rdquo;处理器的笔记本电脑有一段时间了，必须要来给大家分享一下我的使用感受，真的太惊艳了！
 
外观设计简约时尚，线条流畅，机身轻薄便携，无论是日常通勤、出差还是外出学习，随手放进背包里就能轻松带走，完全没有负担，颜值和实用性双双在线。",2025-02-05 21:02:46,广东,0
j***d,5,这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&quot;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。 拥有一块很能打的120赫兹的高刷屏}幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证， 最重要的是16寸大屏幕。,2025-01-24 09:19:37,山东,0
j***n,5,这款机器的整体配置比较均衡，内置了&ldquo;酷睿ultra&rdquo;芯片，性能上用个三年没问题，速度很快。,2025-01-25 15:31:47,湖北,0
j***6,5,这次购物非常满意，商品性价比高，质量可靠。物流高效，商家服务周到，售后完善。最主要看中这个电脑的新cpu  &lsquo;酷睿Ultra&rsquo;，非常好用显卡性能也提上来了。,2025-02-08 19:35:53,福建,0
w***1,5,"这款机器的整体配置比较均衡，内置了&ldquo;酷睿
Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内。",2025-02-11 20:06:07,湖南,0
j***9,5,爱了爱了!这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证,2025-02-16 14:46:47,山东,0
j***0,5,爱了爱了！这款机器的整体配置比较均衡，内置了&lsquo;酷睿Ultra&rsquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内，水平是优秀滴，这次购物体验超棒！物流速度也快，尤其是客服小桃很好啊，回复及时又耐心，有问必答，帮我解决了好多疑问，必须给个大大的好评！,2025-01-22 19:15:19,山西,0
南***七,5,这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内,2025-02-14 16:17:41,吉林,0
j***y,5,爱了爱了！这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&quot;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120 赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内，水平是优秀滴,2025-02-13 23:08:31,河南,0
道***手,5,爱了爱了!这款机器的整体配置比较均衡，内置了&ldquo;酷睿 Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内，水平是优秀滴,2025-02-16 14:52:32,上海,0
